primaryTitle,genres,directors,writers,averageRating,gross
Armageddon,"['Action', 'Adventure', 'Sci-Fi']",['nm0000881'],"['nm0378144', 'nm0009190', 'nm0006904', 'nm0004307', 'nm0690798']",6.7,554600000
Armageddon,"['Action', 'Comedy', 'Fantasy']",['nm0150906'],"['nm0150906', 'nm0463674']",4.7,554600000
Army of Darkness,"['Comedy', 'Horror']",['nm0000600'],"['nm0000600', 'nm0706898']",7.6,21502976
Around the World in 80 Days,"['Action', 'Adventure', 'Comedy']",['nm0178997'],"['nm0894523', 'nm0864435', 'nm0073026', 'nm1309286']",5.9,72004159
Arrival,"['Drama', 'Mystery', 'Sci-Fi']",['nm0898288'],"['nm2104063', 'nm5384213']",7.9,203162211
Arthur Christmas,"['Adventure', 'Animation', 'Comedy']","['nm0176905', 'nm0809877']","['nm0063165', 'nm0809877']",7.1,149717124
Assassination,"['Action', 'Drama', 'Thriller']",['nm1569807'],"['nm1569807', 'nm5225567']",7.3,96933361
Assassins,"['Action', 'Drama', 'Thriller']",['nm2291195'],"['nm2291195', 'nm5029632']",4.5,83306268
Assassins,"['Action', 'Crime', 'Thriller']",['nm0001149'],"['nm0905152', 'nm0905154', 'nm0001338']",6.3,83306268
At First Sight,"['Drama', 'Romance']",['nm0005563'],"['nm0755312', 'nm0506246']",5.9,22365133
Atlantis: The Lost Empire,"['Action', 'Adventure', 'Animation']","['nm0936374', 'nm0873779']","['nm0614742', 'nm0936374', 'nm0873779', 'nm0923736', 'nm0007233', 'nm0951392', 'nm0721675', 'nm0686817']",6.9,186049020
Atonement,"['Drama', 'Mystery', 'Romance']",['nm0942504'],"['nm0568605', 'nm0358960']",7.8,129779728
August Rush,"['Drama', 'Music']",['nm0792202'],"['nm0145309', 'nm0366337', 'nm1554513']",7.5,66015869
Austin Powers in Goldmember,"['Action', 'Adventure', 'Comedy']",['nm0005366'],"['nm0000196', 'nm0567112']",6.2,296338663
Austin Powers: International Man of Mystery,"['Adventure', 'Comedy']",['nm0005366'],['nm0000196'],7.0,67683989
Austin Powers: The Spy Who Shagged Me,"['Action', 'Adventure', 'Comedy']",['nm0005366'],"['nm0000196', 'nm0567112']",6.6,312383487
Australia,['Documentary'],['nm4797895'],['nm4797895'],7.6,215080810
Australia,"['Adventure', 'Comedy', 'Drama']",['nm0525303'],"['nm0064181', 'nm0525303', 'nm0367838', 'nm0281088']",6.6,215080810
Autumn in New York,"['Drama', 'Romance']",['nm0001040'],['nm0122335'],5.6,90717684
Avalon,"['Drama', 'Thriller']",['nm1490822'],['nm1490822'],5.4,15702685
Avalon,"['Action', 'Drama', 'Fantasy']",['nm0651900'],['nm0411872'],6.5,15702685
Avalon,['Drama'],['nm0001469'],['nm0001469'],7.3,15702685
Avatar,['Horror'],['nm3786927'],"['nm2179863', 'nm4392664']",6.1,2776345279
Avatar,"['Action', 'Adventure', 'Fantasy']",['nm0000116'],['nm0000116'],7.8,2776345279
Avengers: Age of Ultron,"['Action', 'Adventure', 'Sci-Fi']",['nm0923736'],"['nm0923736', 'nm0498278', 'nm0456158', 'nm0800209', 'nm4160687']",7.4,1403013963
Awakenings,"['Biography', 'Drama']",['nm0001508'],"['nm0755312', 'nm0001873']",7.8,51636504
Babe,"['Comedy', 'Drama', 'Family']",['nm0003088'],"['nm0455404', 'nm0004306', 'nm0003088']",6.8,246100000
Babe: Pig in the City,"['Adventure', 'Comedy', 'Drama']",['nm0004306'],"['nm0004306', 'nm0606688', 'nm0483953', 'nm0455404']",5.8,69131860
Babel,['Drama'],['nm0327944'],"['nm0037247', 'nm0327944']",7.5,132121212
Babel,"['Adventure', 'Family', 'Fantasy']",['nm0700167'],"['nm0700167', 'nm0724965', 'nm0483327']",3.6,132121212
Baby Boy,"['Crime', 'Drama', 'Romance']",['nm0005436'],['nm0005436'],6.4,28734552
Baby Geniuses,"['Comedy', 'Crime', 'Family']",['nm0163706'],"['nm0666999', 'nm0559228', 'nm0335835', 'nm0163706', 'nm0584121']",2.6,27151490
Baby Mama,"['Comedy', 'Romance']",['nm0567112'],['nm0567112'],6.0,64170447
Baby's Day Out,"['Adventure', 'Comedy', 'Crime']",['nm0425957'],['nm0000455'],6.0,16581575
Babylon A.D.,"['Action', 'Adventure', 'Sci-Fi']",['nm0440913'],"['nm1175275', 'nm0440913', 'nm0078704', 'nm1758001']",5.6,70216497
Back to the Future Part III,"['Adventure', 'Comedy', 'Sci-Fi']",['nm0000709'],"['nm0000709', 'nm0301826']",7.4,244088654
Backdraft,"['Documentary', 'Drama', 'Family']",['nm0906154'],['nm0906154'],5.4,152368585
Backdraft,"['Action', 'Crime', 'Drama']",['nm0000165'],['nm0927074'],6.7,152368585
Bad Boys,['Thriller'],['nm3845484'],['nm2579028'],3.8,141247413
Bad Boys,"['Action', 'Biography', 'Crime']",['nm0617407'],"['nm1217062', 'nm1293773']",6.3,141247413
Bad Boys,"['Action', 'Comedy', 'Crime']",['nm0000881'],"['nm0303032', 'nm0057398', 'nm0611848', 'nm0724514']",6.8,141247413
Bad Boys II,"['Action', 'Comedy', 'Crime']",['nm0000881'],"['nm0303032', 'nm0926729', 'nm0926727', 'nm0005421', 'nm0821466']",6.6,273271982
Bad Company,['Action'],['nm1384445'],['nm1384445'],3.5,69157016
Bad Company,['Thriller'],['nm1162500'],"['nm0358960', 'nm1162500']",5.1,69157016
Bad Company,"['Action', 'Adventure', 'Comedy']",['nm0001708'],"['nm0329074', 'nm0385430', 'nm0725034', 'nm0115192']",5.6,69157016
Bad Company,['Drama'],['nm0299197'],['nm0299197'],7.0,69157016
Bad Company,"['Drama', 'Romance']",['nm0025534'],['nm0493594'],6.5,69157016
Bad Company,"['Crime', 'Drama', 'Thriller']",['nm0364578'],['nm0859469'],5.4,69157016
Bad Girls,['Comedy'],['nm6946444'],"['nm5150033', 'nm5731972', 'nm5386706', 'nm5055865']",1.7,15187851
Bad Girls,['Comedy'],['nm0765250'],"['nm2266323', 'nm1435075', 'nm0411517', 'nm0729202']",5.4,15187851
Bad Girls,"['Romance', 'Western']",['nm0438279'],"['nm0748665', 'nm0277393', 'nm0292875', 'nm0295271', 'nm0877945']",5.1,15187851
Bad Girls,['\\N'],['\\N'],['\\N'],5.3,15187851
Bad Influence,['Drama'],['nm5447183'],"['nm4250299', 'nm5447183']",7.5,12626043
Bad Influence,"['Drama', 'Thriller']",['nm0000436'],['nm0462895'],6.2,12626043
Bad Moms,['Comedy'],"['nm0601859', 'nm0524190']","['nm0524190', 'nm0601859']",6.2,180998746
