primaryTitle,genres,directors,writers,averageRating,gross
Emma,"['Comedy', 'Drama', 'Romance']",['nm0569790'],"['nm0000807', 'nm0569790']",6.7,37831658
Enchanted,"['Animation', 'Comedy', 'Family']",['nm0510674'],['nm0446210'],7.1,340384141
Enchanted,['Comedy'],['nm0911631'],['nm0911631'],5.8,340384141
Enchanted April,['Drama'],['nm0001565'],"['nm0901896', 'nm0055726']",7.4,13200170
Encino Man,['Comedy'],['nm0562645'],"['nm0004043', 'nm0770974']",5.7,40057130
End of Days,"['Action', 'Fantasy', 'Horror']",['nm0001382'],['nm0549256'],5.7,212026975
Ender's Game,"['Action', 'Adventure', 'Fantasy']",['nm0004303'],"['nm0004303', 'nm0136298']",6.6,127983283
Enemy at the Gates,"['Drama', 'History', 'War']",['nm0000269'],"['nm0000269', 'nm0323708']",7.6,96971293
Enemy of the State,"['Action', 'Crime', 'Mystery']",['nm0001716'],['nm0545861'],7.3,250649836
Enough,"['Crime', 'Drama', 'Thriller']",['nm0000776'],['nm0443582'],5.7,50970660
Entrapment,"['Action', 'Crime', 'Romance']",['nm0000750'],"['nm0060103', 'nm0381110', 'nm0115310']",6.3,211700000
Epic,"['Adventure', 'Animation', 'Family']",['nm0917188'],"['nm0366337', 'nm0431622', 'nm0792092', 'nm0040022', 'nm0256079', 'nm0917188']",6.7,262794441
Epic Movie,"['Adventure', 'Comedy']","['nm0294997', 'nm0783536']","['nm0294997', 'nm0783536']",2.4,86858578
Eragon,"['Action', 'Adventure', 'Family']",['nm0266777'],"['nm0118224', 'nm1845777']",5.1,249488115
Eraser,"['Action', 'Drama', 'Mystery']",['nm0751080'],"['nm0701049', 'nm0338396', 'nm0155961']",6.1,234400000
Erin Brockovich,"['Biography', 'Drama']",['nm0001752'],['nm0335666'],7.3,257805243
Ernest Goes to Jail,"['Comedy', 'Crime', 'Family']",['nm0156047'],['nm0169277'],5.4,25029569
Ernest Scared Stupid,"['Comedy', 'Family', 'Fantasy']",['nm0156047'],"['nm0156047', 'nm0760244', 'nm0301829']",5.8,14143280
Escape Plan,"['Action', 'Crime', 'Mystery']",['nm0405632'],"['nm1974016', 'nm0445669']",6.7,103735965
Escape from L.A.,"['Action', 'Adventure', 'Sci-Fi']",['nm0000118'],"['nm0000118', 'nm0145309', 'nm0384185', 'nm0000621']",5.7,25426861
Eternal Sunshine of the Spotless Mind,"['Drama', 'Romance', 'Sci-Fi']",['nm0327273'],"['nm0442109', 'nm0327273', 'nm1410028']",8.3,72570762
Evan Almighty,"['Comedy', 'Family', 'Fantasy']",['nm0001723'],"['nm0644203', 'nm0169505', 'nm0812513', 'nm0466175', 'nm0641479']",5.4,174131329
Eve's Bayou,['Drama'],['nm0501435'],['nm0501435'],7.3,14843425
Event Horizon,"['Horror', 'Sci-Fi', 'Thriller']",['nm0027271'],['nm0252155'],6.7,26673242
Ever After: A Cinderella Story,"['Comedy', 'Drama', 'Romance']",['nm0855035'],"['nm0335666', 'nm0855035', 'nm0663002', 'nm0674518']",7.0,65705772
Everest,"['Action', 'Adventure', 'Biography']",['nm0466349'],"['nm0629933', 'nm0064479']",7.1,127990128
Everest,"['Action', 'Adventure', 'Biography']",['nm0466349'],"['nm0629933', 'nm0064479']",7.1,221297061
Everyone Says I Love You,"['Comedy', 'Musical', 'Romance']",['nm0000095'],['nm0000095'],6.8,34600000
Evil Dead,"['Fantasy', 'Horror', 'Thriller']",['nm1793079'],"['nm1793079', 'nm2140186', 'nm0000600']",6.5,97778356
Evita,"['Biography', 'Drama', 'History']",['nm0000570'],"['nm0005358', 'nm0000570', 'nm0000231']",6.3,151947179
Evolution,"['Horror', 'Mystery', 'Sci-Fi']",['nm0352968'],"['nm0352968', 'nm1626079', 'nm3563262']",6.0,98341932
Evolution,"['Comedy', 'Sci-Fi']",['nm0718645'],"['nm0415979', 'nm0224606', 'nm0919289']",6.1,98341932
Executive Decision,"['Action', 'Adventure', 'Thriller']",['nm0000829'],"['nm0859029', 'nm0859049']",6.4,122079192
Exit Wounds,"['Action', 'Comedy', 'Crime']",['nm0005647'],"['nm0395288', 'nm0006902', 'nm0922685']",5.5,79958599
Exodus: Gods and Kings,"['Action', 'Adventure', 'Drama']",['nm0000631'],"['nm0177836', 'nm0171651', 'nm0128997', 'nm0001873']",6.0,268314513
Exorcist: The Beginning,"['Horror', 'Mystery', 'Thriller']",['nm0001317'],"['nm0087861', 'nm0936537', 'nm0139627', 'nm1149075']",5.1,43957541
Extreme Measures,"['Crime', 'Drama', 'Mystery']",['nm0000776'],"['nm0658375', 'nm0006904']",6.1,17378193
Eye for an Eye,"['Action', 'Crime']","['nm0477041', 'nm1703596']","['nm1703596', 'nm3160046', 'nm0477041']",6.0,26792700
Eye for an Eye,"['Crime', 'Drama', 'Thriller']",['nm0772259'],"['nm0392788', 'nm0798646', 'nm0415425']",6.2,26792700
Eyes Wide Shut,"['Drama', 'Mystery', 'Thriller']",['nm0000040'],"['nm0000040', 'nm0710698', 'nm0774217']",7.4,104267443
F/X2,"['Action', 'Thriller']",['nm0002207'],"['nm0576312', 'nm0281411', 'nm0174374']",5.8,21075831
Face/Off,"['Action', 'Crime', 'Sci-Fi']",['nm0000247'],"['nm0108273', 'nm0171718']",7.3,241200000
Fahrenheit 9/11,"['Documentary', 'Drama', 'War']",['nm0601619'],['nm0601619'],7.5,221148959
Failure to Launch,"['Comedy', 'Romance']",['nm0223359'],"['nm0040022', 'nm0256079']",5.6,128402901
Fair Game,['Documentary'],['nm1809246'],['nm1809246'],8.2,26097497
Fair Game,"['Biography', 'Drama', 'Thriller']",['nm0510731'],"['nm0125336', 'nm3890871', 'nm1468642', 'nm1976209']",6.8,26097497
Fair Game,['Drama'],['nm0923516'],"['nm0923516', 'nm1936362']",2.9,26097497
Fair Game,"['Action', 'Crime', 'Romance']",['nm0802617'],"['nm0331514', 'nm0281969']",4.2,26097497
Fallen,['Documentary'],['nm5882944'],['nm5882944'],8.1,25310938
Fallen,"['Adventure', 'Drama', 'Fantasy']",['nm0382956'],"['nm0743683', 'nm0696986', 'nm2106978', 'nm3729598']",5.5,25310938
Fallen,['Documentary'],['nm0644352'],['nm0644352'],6.9,25310938
Fallen,"['Action', 'Crime', 'Drama']",['nm0387706'],['nm0443582'],7.0,25310938
Falling Down,"['Action', 'Drama', 'Thriller']",['nm1284939'],"['nm1284939', 'nm2252255']",4.9,40903593
Falling Down,"['Crime', 'Drama', 'Thriller']",['nm0001708'],['nm0808076'],7.6,40903593
Fame,['Documentary'],"['nm8267234', 'nm3382703']",['\\N'],8.6,80227619
Fame,"['Comedy', 'Drama', 'Musical']",['nm1160495'],"['nm0122335', 'nm0330731']",5.0,80227619
Fame,['\\N'],['nm0994308'],['nm1473521'],3.9,80227619
Fantastic Beasts and Where to Find Them,"['Adventure', 'Family', 'Fantasy']",['nm0946734'],['nm0746830'],7.3,802437668
Fantastic Four,"['Action', 'Adventure', 'Sci-Fi']",['nm2503633'],"['nm2916300', 'nm1334526', 'nm2503633', 'nm0498278', 'nm0456158']",4.3,333132750
Fantastic Four,"['Action', 'Adventure', 'Fantasy']",['nm1103162'],"['nm0004111', 'nm0289833', 'nm0498278', 'nm0456158']",5.7,333132750
Far and Away,"['Adventure', 'Drama', 'Romance']",['nm0000165'],"['nm0231190', 'nm0000165']",6.6,58883840
Fargo,"['Crime', 'Drama', 'Thriller']","['nm0001054', 'nm0001053']","['nm0001053', 'nm0001054']",8.1,51204567
Fast & Furious,"['Action', 'Crime', 'Thriller']",['nm0510912'],"['nm0604555', 'nm0860155']",6.6,363064265
Fast Five,"['Action', 'Crime', 'Thriller']",['nm0510912'],"['nm0604555', 'nm0860155']",7.3,630163454
Fat Albert,"['Comedy', 'Family', 'Fantasy']",['nm0959034'],"['nm0001070', 'nm0456063']",4.3,48563556
Father of the Bride,"['Comedy', 'Family', 'Romance']",['nm0796124'],"['nm0329304', 'nm0352443', 'nm0583600', 'nm0796124']",6.5,89325780
Father of the Bride Part II,"['Comedy', 'Family', 'Romance']",['nm0796124'],"['nm0352443', 'nm0329304', 'nm0583600', 'nm0796124']",6.0,76578911
Father's Day,['Drama'],['nm1437223'],['nm1437223'],6.1,35681080
Father's Day,"['Action', 'Comedy', 'Horror']","['nm2726915', 'nm2860882', 'nm2377041', 'nm2861974', 'nm2725627']","['nm2726915', 'nm2377041', 'nm2860882', 'nm2861974', 'nm2725627']",6.0,35681080
Father's Day,"['Comedy', 'Romance']",['nm0394776'],"['nm0394219', 'nm0530668']",6.1,35681080
Fear,"['Documentary', 'Drama']","['nm2647632', 'nm7182372']",['\\N'],5.4,20694623
Fear,['Horror'],['nm0080333'],['\\N'],4.0,20694623
Fear,['\\N'],['\\N'],['\\N'],5.5,20694623
Fear,"['Drama', 'Thriller']",['nm0001226'],['nm0189610'],6.2,20694623
Fear,"['Mystery', 'Thriller']",['nm0639328'],['nm0639328'],6.2,20694623
Fever Pitch,"['Comedy', 'Drama', 'Romance']","['nm0268380', 'nm0268370']","['nm0304665', 'nm0541632', 'nm0394984']",6.2,50071069
Fever Pitch,"['Comedy', 'Drama', 'Romance']",['nm0262678'],['nm0394984'],6.7,50071069
Fifty Shades of Grey,"['Drama', 'Romance', 'Thriller']",['nm0853374'],"['nm0545150', 'nm1093317']",4.1,570998101
Fight Club,['Drama'],['nm0000399'],"['nm0657333', 'nm0880243']",8.8,100851705
Final Analysis,"['Drama', 'Thriller']",['nm0423333'],"['nm0074345', 'nm0834338']",5.8,28590665
Final Destination,['Documentary'],['nm5526683'],['nm5526683'],6.1,112036870
Final Destination,"['Horror', 'Thriller']",['nm0939128'],"['nm0604688', 'nm0939128', 'nm0714695']",6.7,112036870
Final Destination 2,"['Horror', 'Thriller']",['nm0254786'],"['nm0344259', 'nm0107774', 'nm0714695']",6.2,90396664
Final Destination 3,['Horror'],['nm0939128'],"['nm0604688', 'nm0939128', 'nm0714695']",5.8,112798051
Final Destination 5,['Horror'],['nm0702797'],"['nm2104063', 'nm0714695']",5.9,155011165
Final Fantasy: The Spirits Within,"['Action', 'Adventure', 'Animation']","['nm0756983', 'nm1012102']","['nm0756983', 'nm0718031', 'nm0899113', 'nm0282027', 'nm1804369', 'nm1105482']",6.4,85131830
Finding Dory,"['Adventure', 'Animation', 'Comedy']","['nm0533691', 'nm0004056']","['nm0004056', 'nm0835194', 'nm0677037', 'nm0533691']",7.3,1021350883
Finding Forrester,['Drama'],['nm0001814'],['nm0723692'],7.3,80013623
Finding Nemo,"['Adventure', 'Animation', 'Comedy']","['nm0881279', 'nm0004056']","['nm0004056', 'nm0677037', 'nm0721675']",8.1,936429370
Finding Neverland,"['Biography', 'Drama', 'Family']",['nm0286975'],"['nm0460632', 'nm1341735']",7.7,115036108
Fire Birds,"['Comedy', 'Drama']",['nm3402398'],"['nm7199921', 'nm3402398', 'nm3697901']",7.0,14760451
Fire Birds,"['Action', 'Adventure']",['nm0337765'],"['nm0879011', 'nm0842456', 'nm0245653', 'nm0857904', 'nm0250268']",4.7,14760451
Fire Down Below,"['Action', 'Drama', 'Thriller']",['nm0258066'],"['nm0835732', 'nm0608068']",5.0,16148906
Fire in the Sky,"['Biography', 'Drama', 'Fantasy']",['nm0509409'],"['nm0910591', 'nm0868124']",6.5,19724334
Firewall,"['Crime', 'Thriller']",['nm0518644'],['nm2147635'],5.8,82751189
First Kid,"['Comedy', 'Family']",['nm0262693'],['nm0445552'],5.2,26465920
First Knight,"['Action', 'Adventure', 'Romance']",['nm0958387'],"['nm0131661', 'nm0395924', 'nm0629933']",5.9,127361412
Flatliners,"['Drama', 'Horror', 'Mystery']",['nm0649117'],"['nm0276823', 'nm1618286']",5.2,61308153
Flatliners,"['Drama', 'Horror', 'Sci-Fi']",['nm0001708'],['nm0276823'],6.6,61308153
Fled,"['Action', 'Adventure', 'Crime']",['nm0393661'],['nm0926211'],5.3,19892205
Flight,"['Drama', 'Thriller']",['nm0000709'],['nm0309691'],7.3,160558438
Flight of the Intruder,"['Action', 'Drama', 'Thriller']",['nm0587518'],"['nm0177805', 'nm0226889', 'nm0787072']",5.7,14471440
Flightplan,"['Mystery', 'Thriller']",['nm0777881'],"['nm1618225', 'nm0712753']",6.3,214392904
Flipper,"['Adventure', 'Family']",['nm0788454'],"['nm0115202', 'nm0184689', 'nm0918918', 'nm0788454']",5.2,30593313
Flubber,"['Comedy', 'Family', 'Sci-Fi']",['nm0562645'],"['nm0853139', 'nm0000455', 'nm0909556']",5.2,177993801
Flushed Away,"['Adventure', 'Animation', 'Comedy']","['nm0101047', 'nm0271402']","['nm0166074', 'nm0478588', 'nm0515941', 'nm0444653', 'nm0204030', 'nm0271402', 'nm0520485']",6.6,179357126
Fly Away Home,"['Adventure', 'Drama', 'Family']",['nm0050597'],"['nm0514043', 'nm0734441', 'nm0571706']",6.8,36469322
Focus,"['Comedy', 'Crime', 'Drama']","['nm0275629', 'nm0720135']","['nm0275629', 'nm0720135', 'nm9610722']",6.6,168065700
Focus,['Comedy'],['nm5703519'],"['nm0085664', 'nm5703519']",6.8,168065700
Focus,"['Drama', 'Romance']",['nm0805595'],"['nm0007186', 'nm0489472']",6.8,168065700
Focus,"['Crime', 'Drama']",['nm0410658'],['nm0793794'],7.2,168065700
Fool's Gold,"['Action', 'Adventure', 'Comedy']",['nm0855035'],"['nm0163177', 'nm0954664', 'nm0855035']",5.7,109362966
Fool's Gold,['Comedy'],['nm0290556'],"['nm0290556', 'nm1059729']",6.7,109362966
Fool's Gold,['Documentary'],['nm0199977'],['nm0199977'],5.8,109362966
Fool's Gold,['\\N'],['nm0417551'],['nm0417551'],5.4,109362966
Fools Rush In,"['Comedy', 'Drama', 'Romance']",['nm0855035'],"['nm0852599', 'nm0714203']",6.0,29299524
Footloose,"['Comedy', 'Drama', 'Music']",['nm0108132'],"['nm0685673', 'nm0108132']",5.9,62989834
For Love of the Game,"['Drama', 'Romance', 'Sport']",['nm0000600'],"['nm0787033', 'nm0828342']",6.6,46112640
For Richer or Poorer,['Comedy'],['nm0818465'],"['nm0398174', 'nm0525503']",5.7,31680796
For the Boys,"['Comedy', 'Drama', 'Music']",['nm0753073'],"['nm0422791', 'nm0490657', 'nm0108613']",6.3,17684580
Forces of Nature,"['Comedy', 'Romance']",['nm0400486'],['nm0492909'],5.4,93957800
Forever Young,['Drama'],['nm2382626'],['nm2382626'],6.5,127942530
Forever Young,['Comedy'],['nm0110292'],"['nm0110292', 'nm2640138', 'nm0551431']",5.7,127942530
Forever Young,['Romance'],['nm4620622'],['\\N'],2.9,127942530
Forever Young,"['Comedy', 'Drama', 'Family']",['nm1420178'],"['nm1181159', 'nm1420178']",7.2,127942530
Forever Young,"['Drama', 'Music']",['nm0066842'],['nm0066842'],6.0,127942530
Forever Young,"['Drama', 'Romance', 'Sci-Fi']",['nm0591171'],['nm0009190'],6.3,127942530
Forget Paris,"['Drama', 'Romance']",['nm2141601'],['nm2141601'],6.2,33194512
Forget Paris,"['Comedy', 'Romance']",['nm0000345'],"['nm0000345', 'nm0304665', 'nm0541632']",6.4,33194512
Forgetting Sarah Marshall,"['Comedy', 'Drama', 'Romance']",['nm0831557'],['nm0781981'],7.2,105173042
Forrest Gump,"['Drama', 'Romance']",['nm0000709'],"['nm0343165', 'nm0744839']",8.8,679850637
Fortress,"['Documentary', 'Drama', 'News']","['nm5444147', 'nm3216874']","['nm3216874', 'nm5444147']",7.0,46730578
Fortress,['Drama'],['nm2947964'],"['nm2947964', 'nm0746367']",7.5,46730578
Fortress,"['Action', 'Crime', 'Sci-Fi']",['nm0002340'],"['nm0624639', 'nm0270686', 'nm0892866', 'nm0289278']",5.9,46730578
Four Brothers,"['Action', 'Crime', 'Drama']",['nm0005436'],"['nm0254213', 'nm1749087']",6.9,92494381
Four Christmases,"['Comedy', 'Drama', 'Romance']",['nm1164861'],"['nm0020820', 'nm0933128', 'nm0524190', 'nm0601859']",5.7,168311558
Four Weddings and a Funeral,"['Comedy', 'Drama', 'Romance']",['nm0001565'],['nm0193485'],7.1,242895809
Fracture,"['Crime', 'Drama', 'Mystery']",['nm0387706'],"['nm0002417', 'nm1020896']",7.2,89204700
Fracture,"['Crime', 'Drama', 'Thriller']",['nm0663328'],"['nm1088298', 'nm0663328']",6.9,89204700
Frankenstein,"['Horror', 'Sci-Fi', 'Thriller']",['nm0741262'],"['nm0741262', 'nm0791217']",5.1,112006296
Frankenstein,['Drama'],['nm0000965'],"['nm0213116', 'nm0791217']",9.0,112006296
Frankenstein,"['Drama', 'Horror']",['nm5098134'],['nm5098134'],2.0,112006296
Frankenweenie,"['Animation', 'Comedy', 'Family']",['nm0000318'],"['nm0728125', 'nm0000318', 'nm0041864']",7.0,81150788
Frankie and Johnny,"['Comedy', 'Drama', 'Romance']",['nm0005190'],['nm0573645'],6.7,22773535
Freaky Friday,"['Comedy', 'Family', 'Fantasy']",['nm0914134'],"['nm0734742', 'nm0352320', 'nm0228908']",6.2,160822438
Fred Claus,"['Comedy', 'Family', 'Fantasy']",['nm0229694'],"['nm1557594', 'nm0625458']",5.6,97837638
Freddy vs. Jason,"['Action', 'Horror']",['nm0950553'],"['nm0000127', 'nm0589485', 'nm1226735', 'nm1226737']",5.8,114576403
Free Birds,"['Adventure', 'Animation', 'Comedy']",['nm0371755'],"['nm0608714', 'nm0371755', 'nm0827670', 'nm0833828', 'nm3439751']",5.9,110387072
Free Willy,"['Adventure', 'Drama', 'Family']",['nm0934578'],"['nm0907929', 'nm0088097']",5.9,153698625
Free Willy 2: The Adventure Home,"['Adventure', 'Drama', 'Family']",['nm0514546'],"['nm0907929', 'nm0418321', 'nm0088097', 'nm0560469']",5.0,30077111
Freejack,"['Action', 'Crime', 'Sci-Fi']",['nm0614276'],"['nm0790533', 'nm0696267', 'nm0795953', 'nm0319659']",5.3,17033142
French Kiss,['Romance'],['nm1834138'],['nm0292688'],5.6,98393930
French Kiss,"['Comedy', 'Drama', 'Romance']",['nm0001410'],['nm0111845'],6.6,98393930
Frequency,['Sci-Fi'],['nm2467116'],['nm2467116'],6.3,68079671
Frequency,"['Sci-Fi', 'Thriller']",['nm3301733'],['nm4995391'],5.9,68079671
Frequency,"['Crime', 'Drama', 'Mystery']",['nm0387706'],['nm0256497'],7.4,68079671
Frida,"['Biography', 'Drama', 'Romance']",['nm0853380'],"['nm0380419', 'nm0797397', 'nm1187860', 'nm0622695', 'nm0858482']",7.4,56131239
Friday,['Family'],['nm2118392'],['nm3980941'],5.9,27936778
Friday,"['Comedy', 'Drama']",['nm0336620'],"['nm0001084', 'nm0690770']",7.3,27936778
Friday After Next,"['Comedy', 'Drama']",['nm1048560'],"['nm0001084', 'nm0690770']",5.8,33526835
Friday Night Lights,"['Action', 'Drama', 'Sport']",['nm0000916'],"['nm0084334', 'nm0169173', 'nm0000916']",7.3,61950770
Friday the 13th,['Horror'],['nm1197971'],"['nm1226735', 'nm1226737', 'nm1187126', 'nm0589485']",5.6,92670237
Fried Green Tomatoes,['Drama'],['nm0000816'],"['nm0280840', 'nm0811807']",7.7,81204830
Friends with Benefits,"['Comedy', 'Romance']",['nm0323239'],"['nm2226647', 'nm2226970', 'nm0323239', 'nm0679037']",6.6,146595891
From Dusk Till Dawn,"['Action', 'Crime', 'Horror']",['nm0001675'],"['nm0476071', 'nm0000233']",7.3,25732986
From Hell,"['Horror', 'Mystery', 'Thriller']","['nm0400441', 'nm0400436']","['nm0600872', 'nm0132427', 'nm0371249', 'nm0947913']",6.8,68712365
Frozen,"['Adventure', 'Animation', 'Comedy']","['nm0118333', 'nm1601644']","['nm1601644', 'nm0026153', 'nm0118333', 'nm2280850']",7.5,1272469910
Frozen,"['Fantasy', 'Romance']",['nm0477213'],"['nm0477213', 'nm3827960']",5.3,1272469910
Frozen,"['Drama', 'Thriller']",['nm1697112'],['nm1697112'],6.2,1272469910
Frozen,['Drama'],['nm2282411'],"['nm2282411', 'nm2384379']",7.0,1272469910
Frozen,['Thriller'],['nm1425498'],"['nm1425498', 'nm1426117']",5.8,1272469910
Funny People,"['Comedy', 'Drama']",['nm0031976'],['nm0031976'],6.3,71880305
Furious 7,"['Action', 'Crime', 'Thriller']",['nm1490123'],"['nm0604555', 'nm0860155']",7.2,1518722794
Fury,"['Action', 'Drama', 'War']",['nm0043742'],['nm0043742'],7.6,210315681
Fury,"['Comedy', 'Music', 'Thriller']",['nm3426043'],"['nm3426043', 'nm3426010']",5.4,210315681
G-Force,"['Action', 'Adventure', 'Animation']",['nm0947087'],"['nm0926727', 'nm0926729', 'nm0947087', 'nm0416408']",5.1,292817841
G.I. Jane,"['Action', 'Drama', 'War']",['nm0000631'],"['nm0018824', 'nm0878638']",5.9,48169156
G.I. Joe: Retaliation,"['Action', 'Adventure', 'Sci-Fi']",['nm0160840'],"['nm1014201', 'nm1116660']",5.8,375740705
G.I. Joe: The Rise of Cobra,"['Action', 'Adventure', 'Sci-Fi']",['nm0814085'],"['nm0064181', 'nm0254213', 'nm1749087', 'nm1290582', 'nm0814085']",5.8,302469017
Galaxy Quest,"['Adventure', 'Comedy', 'Sci-Fi']",['nm0661751'],"['nm0397232', 'nm0330565']",7.3,90523726
Gangs of New York,"['Crime', 'Drama']",['nm0000217'],"['nm0168379', 'nm0001873', 'nm0518836']",7.5,183124621
Gangster Squad,"['Action', 'Crime', 'Drama']",['nm0281508'],"['nm3263825', 'nm4624299']",6.7,104100903
Garfield: A Tail of Two Kitties,"['Animation', 'Comedy', 'Family']",['nm0384722'],"['nm0169505', 'nm0812513', 'nm0204825']",5.0,147985373
Geronimo: An American Legend,"['Drama', 'History', 'Western']",['nm0001353'],"['nm0587518', 'nm0343419']",6.5,18296646
Get Hard,"['Comedy', 'Crime']",['nm1000113'],"['nm1007602', 'nm0731168', 'nm1000113', 'nm0570912']",6.0,106511453
Get Him to the Greek,"['Adventure', 'Comedy', 'Music']",['nm0831557'],"['nm0831557', 'nm0781981']",6.4,91455875
Get Shorty,"['Comedy', 'Crime', 'Thriller']",['nm0001756'],"['nm0001465', 'nm0291082']",6.9,115021008
Get Smart,"['Action', 'Adventure', 'Comedy']",['nm0781842'],"['nm0040022', 'nm0256079', 'nm0000316', 'nm0377750']",6.5,226739416
Ghost Dad,"['Comedy', 'Family', 'Fantasy']",['nm0001627'],"['nm0534681', 'nm0934093', 'nm0004675']",4.3,23007150
Ghost Rider,"['Action', 'Adventure', 'Fantasy']",['nm0425756'],['nm0425756'],5.2,229545589
Ghost Rider: Spirit of Vengeance,"['Action', 'Fantasy', 'Thriller']","['nm0962729', 'nm0004410']","['nm0991355', 'nm2397756', 'nm0333060']",4.3,149217355
Ghost Ship,['Horror'],['nm0065284'],"['nm0360144', 'nm0688282']",5.5,68349884
Ghost Ship,"['Adventure', 'Family']",['nm0282476'],['nm0282476'],4.4,68349884
Ghostbusters,"['Action', 'Comedy', 'Fantasy']",['nm0082450'],"['nm1767754', 'nm0082450', 'nm0718645', 'nm0000101', 'nm0000601']",5.3,229012195
Ghosts of Girlfriends Past,"['Comedy', 'Fantasy', 'Romance']",['nm0914134'],"['nm0524190', 'nm0601859']",5.8,102512802
Girl with a Pearl Earring,"['Biography', 'Drama', 'Romance']",['nm0916424'],"['nm1256768', 'nm0381757']",6.9,43274797
Gladiator,"['Action', 'Adventure', 'Drama']",['nm0000631'],"['nm0291905', 'nm0517589', 'nm0629933']",8.5,457683805
Gladiator,"['Action', 'Drama', 'Sport']",['nm0380705'],"['nm0587429', 'nm0436543', 'nm0450361']",6.5,457683805
Glengarry Glen Ross,"['Crime', 'Drama', 'Mystery']",['nm0001226'],['nm0000519'],7.8,10725228
Gods of Egypt,"['Action', 'Adventure', 'Fantasy']",['nm0001639'],"['nm1948885', 'nm2332952']",5.4,138851895
Godzilla,"['Action', 'Adventure', 'Sci-Fi']",['nm2284484'],"['nm1440919', 'nm1709264', 'nm0393094', 'nm0613609', 'nm0443227', 'nm0001104', 'nm0333060']",6.4,376000000
Godzilla,"['Action', 'Adventure', 'Sci-Fi']",['nm2284484'],"['nm1440919', 'nm1709264', 'nm0393094', 'nm0613609', 'nm0443227', 'nm0001104', 'nm0333060']",6.4,529076069
Godzilla,"['Action', 'Sci-Fi', 'Thriller']",['nm0000386'],"['nm0002041', 'nm0000386', 'nm0254645', 'nm0744429']",5.3,376000000
Godzilla,"['Action', 'Sci-Fi', 'Thriller']",['nm0000386'],"['nm0002041', 'nm0000386', 'nm0254645', 'nm0744429']",5.3,529076069
Gone Fishin',"['Comedy', 'Crime']",['nm0128883'],"['nm0563434', 'nm0009190']",4.7,19745922
Gone Girl,"['Crime', 'Drama', 'Mystery']",['nm0000399'],['nm5058839'],8.1,368567189
Good Boy!,"['Comedy', 'Drama', 'Family']",['nm0388971'],"['nm1183823', 'nm0388971']",5.1,45312217
Good Burger,"['Comedy', 'Family']",['nm0005367'],"['nm0773759', 'nm0465741', 'nm0782499']",5.7,23712993
Good Luck Chuck,['Comedy'],['nm0426851'],['nm0426851'],7.4,59183821
Good Luck Chuck,"['Comedy', 'Fantasy', 'Romance']",['nm0375068'],"['nm0831457', 'nm2521593']",5.6,59183821
Good Will Hunting,"['Drama', 'Romance']",['nm0001814'],"['nm0000354', 'nm0000255']",8.3,225925989
Goodfellas,"['Crime', 'Drama']",['nm0000217'],"['nm0683380', 'nm0000217']",8.7,46777347
Goosebumps,"['Adventure', 'Comedy', 'Family']",['nm1224299'],"['nm0501359', 'nm0018735', 'nm0438989', 'nm0830419']",6.3,158905324
Gosford Park,"['Comedy', 'Drama', 'Mystery']",['nm0000265'],"['nm0271501', 'nm0000265', 'nm0000837']",7.3,41300105
Gothika,"['Horror', 'Mystery', 'Thriller']",['nm0440913'],['nm0349406'],5.8,141484812
Gran Torino,['Drama'],['nm0000142'],"['nm1010405', 'nm3164738']",8.1,274543085
Grand Canyon,"['Crime', 'Drama']",['nm0001410'],"['nm0001410', 'nm0440462']",6.9,40098309
Graveyard Shift,['Horror'],['nm0802326'],"['nm0000175', 'nm0261176']",4.8,11578883
Gravity,"['Drama', 'Sci-Fi', 'Thriller']",['nm0190859'],"['nm0190859', 'nm0190861', 'nm0000123']",7.7,693698673
Gravity,"['Crime', 'Drama']",['nm3464744'],['nm3464744'],6.7,693698673
Gravity,['Drama'],['nm1644451'],"['nm1644451', 'nm1643762']",6.0,693698673
Great Expectations,['Drama'],['nm5547970'],"['nm5546994', 'nm0002042']",6.8,55406438
Great Expectations,"['Drama', 'Romance']",['nm0001565'],"['nm0390141', 'nm0002042']",6.4,55406438
Great Expectations,"['Drama', 'Romance']",['nm0190859'],"['nm0002042', 'nm0322248']",6.8,55406438
Greedy,['Comedy'],['nm0528718'],"['nm0304665', 'nm0541632']",6.3,13137484
Green Card,"['Comedy', 'Drama', 'Romance']",['nm0001837'],['nm0001837'],6.2,29804169
Green Lantern,"['Action', 'Adventure', 'Sci-Fi']",['nm0132709'],"['nm0075528', 'nm0338169', 'nm0973233', 'nm0325533']",5.5,219535492
Green Zone,"['Action', 'Drama', 'Thriller']",['nm0339030'],"['nm0001338', 'nm2418487']",6.8,97523020
Gremlins 2: The New Batch,"['Comedy', 'Fantasy', 'Horror']",['nm0001102'],"['nm0001060', 'nm0351919']",6.3,41476097
Grosse Pointe Blank,"['Action', 'Comedy', 'Crime']",['nm0000786'],"['nm0417716', 'nm0222584', 'nm0684336', 'nm0000131']",7.4,31070412
Groundhog Day,"['Comedy', 'Fantasy', 'Romance']",['nm0000601'],"['nm0748035', 'nm0000601']",8.0,70906973
Grown Ups,['Comedy'],['nm0240797'],"['nm0001191', 'nm0937748']",6.0,272223430
Grown Ups 2,['Comedy'],['nm0240797'],"['nm0937748', 'nm0001191', 'nm0379056']",5.4,247023808
Grudge Match,"['Comedy', 'Drama', 'Sport']",['nm0781842'],"['nm0445552', 'nm0745247']",6.4,69807260
